text,ECON,CULT
"The rule that no more than one member of the Federal Council may come from the same canton will be abolished. The Federal Assembly, however, must ensure that the country's regions and language areas are adequately represented.",0.00 ,0.18 
"The new Article 24 decrees of the Federal Constitution grants the federal government the authority to issue regulations in the field of organ, tissue, and cell transplantation (paragraph 1). In doing so, the federal government must ensure the protection of human dignity, personality, and health; this also includes animal organs, tissue, and cells; consequently, the federal government can also regulate the particularly controversial xenotransplantation. Paragraph 2 assigns the federal government the task of establishing criteria for the fair allocation of organs. Paragraph 3 stipulates that donations are gratuitous and prohibits trading in human parts.",-0.39 ,-0.11 
"The aim of the initiative is to increase tax incentives for and maintain owner-occupied housing. Five measures are planned for this purpose: 1. Savings for the purchase of owner-occupied housing are to be deducted from income. 2. Tax relief for funds from Pillars 2 and 3a of retirement savings intended for the purchase of homeownership. 3./4. The imputed rental value is to be set at a reasonable level and reduced for up to ten years after the initial purchase. 5. After that, it is unchangeable until any change of ownership.",0.49 ,-0.13 
"The partial revision of the Spatial Planning Act includes three significant changes. Buildings and facilities for off-land farming (fattening farms, greenhouses) are now permitted in agricultural zones. Furthermore, the conversion of existing buildings to commercial purposes will be permitted, provided this ensures the continued existence of the main agricultural or horticultural business. Finally, agricultural residential buildings that are preserved in their original structure (e.g., no dilapidated rustic houses) can also be used as non-agricultural living space. This allows farming families to legally remain in the farmhouse even after abandoning the farm or sell it to non-farmers.",0.51 ,0.22 
"The new constitution contains a complete catalogue of fundamental rights and enshrines, among other things, the right to non-discrimination. It also includes the so-called social objectives, according to which the Confederation and cantons must ensure that every person participates in social security, receives the necessary health care, finds employment and housing, and has access to education. Sustainable development and equal opportunities are enshrined as objectives, and the primacy of international law is explicitly mentioned for the first time. People's rights remain untouched (see, however, Bill 493).",-0.33 ,0.74 
"The completely revised Asylum Act incorporates existing law and introduces the following important innovations: 1. It grants temporary protection to ""war displaced persons."" The Federal Council makes the fundamental decision on a case-by-case basis as to whether and how many people from a war zone are granted protection. These individuals are admitted without complex individual procedures, but only temporarily – until their return to their home country or country of origin is possible. 2. To facilitate the return and reintegration of asylum seekers and those seeking protection in their home country, the federal government can finance projects in Switzerland and abroad. 3. Changes to the asylum procedure: For example, the suspension of deadlines during vacations and holidays is lifted, and women's concerns and the special needs of unaccompanied minors are better taken into account in the law. 4. Changes to welfare: This no longer lies with aid organizations, but with the cantons. 5. Provisions on the protection and processing of personal data.",0.15 ,-0.27 
"The aim of the federal decree on urgent measures in the area of ​​asylum and foreign nationals, which has already entered into force, is to combat abusive behavior at the very beginning of asylum applications. It essentially involves the following measures: Foreign nationals who are illegally residing in Switzerland and who solely seek to delay their impending deportation by applying for asylum will be denied a comprehensive asylum procedure – unless there is evidence of persecution in their home country or country of origin. The same applies to individuals who fail to submit identification documents when submitting their application or who deceive the asylum authorities about their identity. Asylum seekers whose procedures are already underway and who are facing deportation must cooperate in obtaining travel documents; otherwise, they may be detained pending deportation. Finally, foreign nationals who enter the country despite an existing entry ban can be placed in preparatory detention to determine their residency status.",0.08 ,-0.64 
"Until a new narcotics law comes into force, this federal decree provides the legal basis for continuing to prescribe heroin as a treatment for a clearly defined group of severely addicted individuals. Heroin will only be administered by specialized institutions and only to adults who have been addicted to drugs for at least two years and have already undergone two other unsuccessful treatments.",-0.34 ,0.42 
"As austerity measures, the Federal Council and Parliament propose the abolition of the supplementary pension for married couples and – this is the truly controversial part of the proposal – the quarter pensions.",0.62 ,0.02 
"The vote will focus on the introduction of maternity insurance, which would guarantee working mothers 80% of their income for 14 weeks after birth and a basic benefit for non-working mothers. To finance this, the existing fund of the EO will be converted into a joint fund of the EO and maternity insurance, which will initially be funded from the EO's surpluses and, at a later date, through an increase in value-added tax, which would then be decided by the people and the cantons. If the people and the cantons reject such an increase, the federal government can increase wage contributions by 0.2 percent.",-0.60 ,0.32 
